Avance,Contratista,Departamento - Ciudad,Estado,Extensión de la Obra,Fecha de Finalización,Fecha de Inicio,Fuente de Financiación,Información Adicional,Inversión,Localidades Beneficiadas,Nombre,Plazo de Ejecución (en meses),Tipo
,https://www.contrataciones.gov.py/licitaciones/adjudicacion/contrato/246304-consorcio-yukyry-9.html,Caaguazú - Repatriación,EN CONSTRUCCIÓN,Consorcio Yukyry,,Repatriacion - Irrazabal Sur,83%,"* Construido por la Empresa Consorcio Yukyry
* LLAMADO MOPC Nº 161. LPN.FIRMAS CONSTRUCTORAS PARA LA CONSTRUCCION DE PUENTES PREFABRICADOS DE HORMIGON
*Arroyo 2da Linea
* Contrato S.G. Ministro Nº214/2013
* Monto Adjudicado: Gs 6.995.859.375
* Monto Modificado: Gs. 7.596.829.604",Fondo Local,15 metros,Puente Prefabricado de Hormigón,,Puente de Hormigón Armado
,https://www.contrataciones.gov.py/licitaciones/adjudicacion/contrato/246304-consorcio-yukyry-9.html,Caaguazú - R. I. Tres Corrales,EN CONSTRUCCIÓN,Consorcio Yukyry,,San Antonio - 3 Corrales,98%,"* Construido por la Empresa Consorcio Yukyry
* LLAMADO MOPC Nº 161. LPN. FIRMAS CONSTRUCTORAS PARA LA CONSTRUCCIÓN DE PUENTES PREFABRICADOS DE HORMIGON
* Arroyo Yhovy
* Contrato S.G. Ministro Nº214/2013
* Monto Adjudicado: Gs 6.995.859.375
* Monto Modificado: Gs. 7.596.829.604",Fondo Local,15 metros,Puente Prefabricado de Hormigón,,Puente de Hormigón Armado
,https://www.contrataciones.gov.py/licitaciones/adjudicacion/contrato/246304-consorcio-yukyry-9.html,Caaguazú - Repatriación,EN CONSTRUCCIÓN,Consorcio Yukyry,,Repatriación - Caminos Vecinales,90%,"* Construido por la Empresa Consorcio Yukyry
* LLAMADO MOPC Nº 161. LPN. FIRMAS CONSTRUCTORAS PARA LA CONSTRUCCIÓN DE PUENTES PREFABRICADOS DE HORMIGÓN
* Arroyo San Francisco
* Contrato S.G. Ministro Nº214/2013
* Monto Adjudicado: Gs 6.995.859.375
* Monto Modificado: Gs. 7.596.829.604",Fondo Local,15 metros,Puente Prefabricado de Hormigón,,Puente de Hormigón Armado
10,https://www.contrataciones.gov.py/sicp/llamado/llamadosPorID.seam?nroPacParam=311975,Alto Paraná - Santa Rita,EN CONSTRUCCIÓN,Ecomipa S.A.,,Santa Rita – Santa Rosa – Los Cedrales,0%,"Licitación Pública Nacional a “Empresas Constructoras para la Pavimentación Asfáltica sobre Empedrado del Tramo: Santa Rita – Los Cedrales”, ID N° 311975.",Fondo Local,55 kms,Pavimentación asfáltica sobre empedrado del tramo Santa Rita – Santa Rosa – Los Cedrales,,Pavimentación Asfáltica sobre Empedrado
0%,S/D,Misiones - San Juan Bautista,EN CONSTRUCCIÓN,"0,126 km2 Planta de Tratamiento - 3,23 km2 Área de Cobertura","Jue, 01 Marzo 2018",,Fondo Local,"Alcantarillado sanitario condominial y Planta de Tratamiento Aguas Residuales.
Fuente de Financiamiento: BID, Iniciativa Agua y Saneamiento, AECID, FCAS Fondo de Cooperación para Agua, MOPC Gobierno Nacional.",USD 3.250.000,San Juan Bautista,Programa de Saneamiento y Agua Potable para el Chaco y Ciudades Intermedias de la Región Oriental,,Saneamiento y agua potable
97%,Hazama Ando Corporation,Guairá - Yataity del Guairá,EN CONSTRUCCIÓN,"22,6 km de aductora - 0,012 km2 Planta de Tratamiento","Jue, 30 Noviembre 2017","Vie, 02 Enero 2015",JICA,"Captación de Agua Río Tebicuary, aductora, planta de tratamiento de agua potable.",USD 15.225.000,Coronel Oviedo - Villarrica - Yataity,Proyecto de Mejoramiento del Sistema de Agua Potable para la Ciudad Coronel Oviedo,30,Saneamiento y agua potable
90%,CONSORCIO PS,Alto Paraguay - Puerto Casado,EN CONSTRUCCIÓN,"101.2 km de Tubería - 0,046 km2 PTAP","Mié, 01 Agosto 2018","Vie, 04 Enero 2013",Fondo Local,"Sistema de Captación de agua cruda del río Paraguay, Planta de tratamiento de agua, Estación principal de bombeo, Reservorios de agua en hormigón armado, Edificios e instalaciones para la operación y control del sistema, Sistema de mando y monitoreo para la operación y el control del sistema, 202 Km de Tuberías de conducción principal.",Gs. 30.948.618.863,"Puerto Casado - Loma Plata, comunidades y aldeas indígenas en zonas periurbanas.",Obra de Construcción del Acueducto Principal Puerto Casado - Loma Plata (Primera Etapa).,68,Construcción de Acueducto
0%,S/D,Boquerón - Filadelfia,EN CONSTRUCCIÓN,Aductora Filadelfia - Neuland 34 km / Aductora Loma Plata - Filadelfia 35 km / Aductora Loma Plata - Lolita 103 km,"Vie, 31 Agosto 2018","Sáb, 01 Abril 2017",Fondo Local,"Construcción de aductoras, centros de distribución y estación de bombeo en el chaco central.
Fuente de financiamiento: 68% FECASALC, 23%BID, 9% Fondos locales.",USD 29.400.000,"Filadelfia, Neuland, Lolita, comunidades y aldeas indígenas en zonas periurbanas","Obra de Construcción del Acueducto, aductoras, centros de distribución y estación de bombeo en el Chaco Central (Segunda Etapa).",17,Construcción de Acueducto
75%,Alberto Sosa Lezcano,Central - Asunción,EN CONSTRUCCIÓN,,"Mar, 07 Agosto 2018","Vie, 23 Diciembre 2016",BID,Licitación 304814 - MOPC N° 134/2016 OBRA DE CONSTRUCCIÓN DEL CENTRO COMUNAL DEL BARRIO SAN JERÓNIMO,Gs. 4.156.377.352,Asunción,OBRA DE CONSTRUCCION DEL CENTRO COMUNAL DEL BARRIO SAN JERONIMO,21,Obra edilicia
5%,Consorcio TBI,Central - Asunción,EN CONSTRUCCIÓN,,"Lun, 27 Abril 2020","Dom, 17 Septiembre 2017",BID,Licitación 304820 - LLAMADO MOPC 118/2016.DISEÑO Y CONSTRUCCION DE LAS OFICINAS DE GOBIERNO,Gs. 478.828.238.738,Asunción,DISEÑO Y CONSTRUCCIÓN DE LAS OFICINAS DE GOBIERNO,34,Obra edilicia
0%,DC INGENIERIA S.A. Y STILER S.A.,Central - Asunción,EN CONSTRUCCIÓN,6 km,"Jue, 14 Marzo 2019","Mié, 14 Marzo 2018",BID,Licitación 330852 - CONSTRUCCION DEL SISTEMA TRONCAL - PROYECTO BTR - CORREDOR CENTRAL TRAMO 1.1,Gs. 134.579.061.183,Asunción,CONSTRUCCION DEL SISTEMA TRONCAL-BTR-CORREDOR PRINCIPAL: TRAMO 1.1,12,Pavimentación Asfáltica
3%,GINSA S.A.,Central - Asunción,EN CONSTRUCCIÓN,,"Sáb, 14 Julio 2018","Dom, 17 Septiembre 2017",BID,Licitación 318110 - DISEÑO EJECUTIVO Y CONSTRUCCION DE LAS AREAS COMUNES DEL PUERTO DE ASUNCION - PRIMERA ETAPA,,Asunción,DISEÑO EJECUTIVO Y CONSTRUCCION DE LAS AREAS COMUNES DEL PUERTO DE ASUNCION - PRIMERA ETAPA,11,Pavimentación Asfáltica
62%,CONSORCIO CHACO,Boquerón - Filadelfia,EN CONSTRUCCIÓN,170 kilometros,"Sáb, 26 Enero 2019","Mié, 26 Julio 2017",FECASALC (AECID),"Construcción de la fase 2 de la aductora principal, proveniente desde Puerto Casado a Loma Plata y que beneficiará a las ciudades de Filadelfia, Loma Plata, Neuland, Tte Irala Fernández, Cruce Pioneros y a 85 comunidades indígenas en el norte del país",Gs. 143.334.027.124,Comunidad de Peseempó y 85 comunidades indígenas,"CONSTRUCCION DE ADUCTORAS, CENTROS DE DISTRIBUCION Y ESTACIONES DE BOMBEO EN EL CHACO CENTRAL",18,AGUA POTABLE
2%,CONSORCIO ASI PARAGUAY,Central - Asunción,EN CONSTRUCCIÓN,"58.691,67 metros de tubería y 1 PTAR Varadereo","Mar, 29 Septiembre 2020","Mié, 29 Marzo 2017",BID,Proyecto de alcantarillado sanitario en la ciudad de Asunción (PR-L 1029),Gs. 174.447.301.432,Asunción,Llamado MOPC 207/15.Rehab. y ampl. de la red de alcantarillado sanitario y const. de planta de tratamiento de aguas residuales en la Bahia de Asuncion y San Lorenzo (LOTE 1 AS),42,Alcantarillado Sanitario
4%,CONSORCIO SANITARIO SAN LORENZO,Central - San Lorenzo,EN CONSTRUCCIÓN,"133.260,67 m + 1 PTAR SL","Mar, 29 Septiembre 2020","Mié, 29 Marzo 2017",BID,Alcantarillado sanitario en la ciudad de San Lorenzo y construcción de 1 PTAR,Gs. 156.032.576.204,San Lorenzo,Llamado MOPC 207/15.Rehab. y ampl. de la red de alcantarillado sanitario y const. de planta de tratamiento de aguas residuales en la Bahia de Asuncion y San Lorenzo (LOTE 2 SL),42,Alcantarillado Sanitario
70%,TR Construcciones S.A.,Misiones - San Juan Bautista,EN CONSTRUCCIÓN,25000 mts + 1 PTAR,"Jue, 10 Enero 2019","Jue, 26 Marzo 2015",BID,"Alcantarillado sanitario y PTAR, (contrato comprende 2 Convenios Modificatorios)",Gs. 2.394.415.086,San Juan Bautista,INSFRAESTRUCTURA PARA SISTEMAS DE RECOLECCION Y TRATAMIENTO DE AGUAS RESIDUALES Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE PARA LA CIUDAD DE SAN JUAN BAUTISTA,45,Alcantarillado Sanitario
75%,CORSAN CORVIAM CONSTRUCCION S.A.,Caazapá - San Francisco,EN CONSTRUCCIÓN,34.88,"Sáb, 18 Agosto 2018","Mié, 18 Enero 2017",Fondo Local,REHABILITACIONDE TRAMOS DE CAMINOS VECINALES EN EL DEPATARMENTO DE CAAZAPA,Gs. 25.973.187.784,Boqueron - San Francisco,TOCSA,20,Pavimentación Asfáltica
43%,Consorcio M&T - LT,Caaguazú - Tres de Febrero,PENDIENTE,42.86,"Mar, 18 Julio 2017","Mié, 18 Enero 2017",Fondo Local,REHABILITACION DE TRAMOS DE CAMINOS VECINALES,Gs. 27.643.067.069,COLONIAS UNIDAS,CONSORCIO MYT-LT,18,Pavimentación Asfáltica
0%,Constructora ECO S.A.,San Pedro - San Pedro de Ycuamandyyú,EN CONSTRUCCIÓN,"78,00 metros","Mar, 30 Octubre 2018","Mar, 01 Marzo 2016",CAF,"Llamado MOPC 01 /2015 - Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay
""PROYECTO DE MEJORAMIENTO DE CAMINOS VECINALES Y PUENTES EN ÀREAS RURALES, MEDIANTE EL USO INTENSIVO DE MANO DE OBRA LOCAL EN LA REGIÒN ORIENTAL"", CORPORACION ANDINA DE FOMENTO (CAF)
PAQUETE 1",Gs. 6.301.829.056,"Guayaibi, San Pedro de Ycuamandiyu, San Estanilao, Guayaibi","PROYECTO DE MEJORAMIENTO DE CAMINOS VECINALES Y PUENTES EN ÀREAS RURALES, MEDIANTE EL USO INTENSIVO DE MANO DE OBRA LOCAL EN LA REGIÒN ORIENTAL",18,Puente de Hormigón Armado
4%,CONSORCIO SACEEM-GRINOR,Alto Paraná - Minga Guazú,EN CONSTRUCCIÓN,150,"Lun, 07 Enero 2019","Sáb, 07 Enero 2017",CAF,"Llamado MOPC 139-2015 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF
LOTE 1",Gs. 12.571.176.123,Minga Guazú,CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF,24,Puente de Hormigón Armado
0%,CONSORCIO SANTA LUCIA,Canindeyú - Corpus Christi,EN CONSTRUCCIÓN,"235,00 metros","Mar, 11 Junio 2019","Dom, 11 Junio 2017",Fondo Local,Llamado MOPC 139-2015 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF,Gs. 12.544.862.629,"Corpus Chisthi, F. Caballero Alvarez, Curuguaty, Yasy Cañy",CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF,24,Puente de Hormigón Armado
69%,T Y C S.A.,Caazapá - San Juan Nepomuceno,EN CONSTRUCCIÓN,"225,00 metros","Dom, 01 Septiembre 2019","Vie, 01 Septiembre 2017",CAF,"Llamado MOPC 139-2015 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF
LOTE 3",Gs. 34.394.580.701,"San Juan Nepomuceno, Buena Vista, Abaí, Cecilio Báez","PROYECTO DE MEJORAMIENTO DE CAMINOS VECINALES Y PUENTES EN ÀREAS RURALES, MEDIANTE EL USO INTENSIVO DE MANO DE OBRA LOCAL EN LA REGIÒN ORIENTAL",24,Puente de Hormigón Armado
70%,CDD Construcciones,Caazapá - Caazapá,EN CONSTRUCCIÓN,280,"Lun, 01 Julio 2019","Sáb, 01 Julio 2017",Fondo Local,"Llamado MOPC 139-2015 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF
LOTE 4",Gs. 34.394.580.701,"Caazapa, 3 de Mayo, San Juan Nepomuceno","PROYECTO DE MEJORAMIENTO DE CAMINOS VECINALES Y PUENTES EN ÀREAS RURALES, MEDIANTE EL USO INTENSIVO DE MANO DE OBRA LOCAL EN LA REGIÒN ORIENTAL",24,Pavimentación Asfáltica
100%,CONSORCIO CONCIV,Central - Asunción,EN CONSTRUCCIÓN,,"Vie, 13 Julio 2018","Mar, 06 Septiembre 2016",Fondo Local,"Control del cauce del arroyo Itay en la zona del Aeropuerto Internacional Silvio Pettirossi y construcción de lagunas de atenuación de crecidas en el parque Guazú de Asunción, así mismo se pretende lograr con estas obras un mejoramiento de la calidad de vida de los ciudadanos de los barrios aledaños al cauce del arroyo Itay con la disminución de las áreas de inundaciones.",Gs. 91.522.242.826,"Limpio, Mariano Roque Alonso, Asunción",LPN DE FIRMAS CONS PRA LA REGN DEL CAUCE DEL ARROYO ITAY EN LA ZONA AEROPUERTO INTERNACIONAL SILVIO PETTIROSSI Y CONS. DE LAGUNAS DE ATENUACION DE CRECIDAS EN EL PARQUE GUAZU DE ASUNCION - AD REF. AL PGN 2016,22,Construcción de lagunas de atenuación
45%,Constructora Feldmann S.A.,Cordillera - Valenzuela,EN CONSTRUCCIÓN,"210,00 metros","Lun, 01 Julio 2019","Sáb, 01 Julio 2017",CAF,"Llamado MOPC 139-2015 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF
LOTE 5",Gs. 17.235.833.669,"Valenzuela, Atyra, Valenzuela, Iturbe, Pedro Juan Caballero","PROYECTO DE MEJORAMIENTO DE CAMINOS VECINALES Y PUENTES EN ÀREAS RURALES, MEDIANTE EL USO INTENSIVO DE MANO DE OBRA LOCAL EN LA REGIÒN ORIENTAL",24,Puente de Hormigón Armado
8%,CONSORCIO SANTA LUCIA,Canindeyú - Corpus Christi,EN CONSTRUCCIÓN,"235,00 METROS","Mié, 06 Noviembre 2019","Lun, 06 Noviembre 2017",CAF,"Llamado MOPC 139-2015 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - SEGUNDA TANDA DE PUENTES - CAF
LOTE 2",Gs. 12.544.862.629,"Corpus Chisthi, F. Caballero Alvarez, Curuguaty, Yasy Cañy","PROYECTO DE MEJORAMIENTO DE CAMINOS VECINALES Y PUENTES EN ÀREAS RURALES, MEDIANTE EL USO INTENSIVO DE MANO DE OBRA LOCAL EN LA REGIÒN ORIENTAL",24,Puente de Hormigón Armado
100%,TR Construcciones S.A.,Central - Villa Elisa,FINALIZADA,2300 metros,"Vie, 13 Julio 2018","Jue, 17 Diciembre 2015",Fondo Local,Obras de Mejoramiento y control de cauces del Arroyo FORTIN que beneficia a la población de Villa Elisa,Gs. 35.760.730.313,Villa Elisa,LPN FIRMAS CONSTRUCTORAS PARA LAS OBRAS DE MEJORAMIENTO DEL ARROYO FORTIN DE VILLA ELISA,30,Regularización de Cauce
0%,SACEEM S.A.,Itapúa - Edelira,PENDIENTE,231,,,CAF,"Llamado MOPC 02-2017 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - TERCERA TANDA DE PUENTES - CAF
LOTE 1",Gs. 15.835.654.765,"Yatytay, Edelira, Carlos Antonio Lopez, Yatytay",CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - TERCERA TANDA DE PUENTES - CAF,18,Puente de Hormigón Armado
100%,CONSORCIO CTN,Central - Lambaré,FINALIZADA,612 m,"Dom, 27 Septiembre 2015","Mar, 27 Enero 2015",Fondo Local,Obras de Mejoramiento y Control de cauces del Arroyo SOSA que beneficia a la población de Lambaré,Gs. 8.383.396.458,Lambaré,CONSTRUCCION DE OBRAS DE MEJORAMIENTO EN ARROYOS URBANOS: ARROYO SOSA DE LAMBARE,9,Regularización de Cauce
0%,Constructora Feldmann S.A.,San Pedro - Capiibary,EN CONSTRUCCIÓN,"330,00 metros","Mié, 20 Noviembre 2019","Lun, 21 Mayo 2018",CAF,"Llamado MOPC 02-2017 LICITACION PUBLICA INTERNACIONAL PARA CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - TERCERA TANDA DE PUENTES - CAF
LOTE 2",Gs. 18.188.594.872,"San Carlos del Apa, Union , San Pedro, Capiibary, Gral. Aquino",CONSTRUCCION DE PUENTES DE Hº Aº EN VARIOS DEPARTAMENTOS DE LA REGION ORIENTAL - TERCERA TANDA DE PUENTES - CAF,18,Puente de Hormigón Armado
78%,Consorcio ABH S.A. - TAIVO S.A. - CONSTRUCTA S.A.,Alto Paraguay - Puerto Casado,EN CONSTRUCCIÓN,102.4 km de Tubería,"Mié, 01 Agosto 2018","Lun, 02 Enero 2017",Fondo Local,"Sistema de Captación de agua cruda del río Paraguay, Planta de tratamiento de agua, Estación principal de bombeo, Reservorios de agua en hormigón armado, Edificios e instalaciones para la operación y control del sistema, Sistema de mando y monitoreo para la operación y el control del sistema, 202 Km de Tuberías de conducción principal.",Gs. 28.488.896.171,"Puerto Casado - Loma Plata, comunidades y aldeas indígenas en zonas periurbanas.",EJECUCION DE LAS OBRAS DE CONSTRUCCIÓN DEL ACUEDUCTO PRINCIPAL PUERTO CASADO - LOMA PLATA,18,Construcción de Acueducto
11%,CONSORCIO TAVAÍ (CDD CONSTRUCCIONES S.A. - RAMON ALVAREZ S.A.),Caazapá - San Juan Nepomuceno,EN CONSTRUCCIÓN,85,"Vie, 19 Abril 2019","Lun, 17 Abril 2017",BID,Proyecto de Mejoramiento del Tramo San Juan Nepomuceno Empalme a Ruta Nacional N° 6 Contrato N° 3372/OC-PR BID,Gs. 362.966.484.046,NACIONAL,Rehabilitación y Pavimentación del Tramo San Juan Nepomuceno empalme a Ruta Nacional N° 6,42,Pavimentación Asfáltica
100%,CORSAN CORVIAM CONSTRUCCION S.A.,Itapúa - Hohenau,EN CONSTRUCCIÓN,155km,"Dom, 01 Octubre 2017","Sáb, 16 Enero 2016",BID,"Rehabilitación y Mantenimiento GMANS Rutas PY06 Y PY08, 155 Km: a) PY06 Tramo: Acceso Capitan Meza/Natalio-Encarnación, 78 Km; b) PY08: Tramo Yuty-Cnel Bogado, 66 Km; y c) Accesos Yuty, San Pedro, Artigas , Cnel. Bogado, 11 Km.",Gs. 93.136.083.558,"Encarnación, Cptan. Miranda, Trinidad, Hohenau, Obligado, Bella Vista, Pirapó, Edelira, Capitan Meza, Natalio/Caazapá, Yuty, José Leandro Oviedo, San Pedro del Paraná, Artigas, Coronel Bogado","Rehabilitación y Mantenimiento GMANS Rutas PY06 Y PY08, 155 Km",18,Pavimentación Asfáltica
100%,CONSORCIO MONDAY (TECNOEDIL S.A. - PROEL INGENIERIA),Itapúa - Capitán Meza,EN CONSTRUCCIÓN,172KM,"Vie, 30 Junio 2017","Vie, 01 Julio 2016",BID,"Rehabilitación y Mantenimiento GMANS Ruta PY06, 172 Km: PY06 Tramo: Minga Guazú - Acceso a Capitan Meza/Natalio",Gs. 106.690.056.215,"Capitan Meza, Natalio,Yataity, Yatytay, Tomas Romero Pereira, San Rafael del Paraná, Carlos Antonio Lopez, Mayor Otaño / Raul Peña, Iruña, Naranjal, Santa Rita, Santa Rosa del Monday, Tava py, Minga Guazú.","Rehabilitación y Mantenimiento GMANS Ruta PY06, 172 Km:",24,Pavimentación Asfáltica
88%,CONSORCIO PyEE & ASOCIADOS,San Pedro - Guayaibí,EN CONSTRUCCIÓN,151 km,"Vie, 31 Agosto 2018","Mar, 01 Agosto 2017",BID,Rehabilitación y Mantenimiento GMANS Ruta PY03. 151 Km Tramo: Rotonda Calle 6.000-Ruta 3-Azotey,Gs. 91.733.788.236,"San Estanislao, Guayaivi, Gral. Resquín, Lima, San Rosa del Aguaray, Nueva Germania, Taucuatí, Azotey",Rehabilitación y Mantenimiento GMANS Ruta PY03. 151 Km,12,Pavimentación Asfáltica
0%,CONSORCIO AZOTEY (M&T S.A. - API MOVILIDAD S.A.),Concepción - Azotey,PENDIENTE,"135,7 Km",,,BID,"Rehabilitación y Mantenimiento GMANS Ruta PY05 Y PY03, 135,7 Km. Tramos: a) PY05: Yby Yaú-P.J.Caballero, 103,0 Km; b) PY03: Azotey-Yby Yaú, 32,7 Km.",Gs. 87.353.162.899,"Azotey, Yby Yaú, Pedro Juan Caballero",Rehabilitación y Mantenimiento GMANS Ruta PY05 Y PY03,,Pavimentación Asfáltica
